1 -- I've worked in design for:,2 --I primarily work in:,3 --I'm also good at:,4 --I am currently:,5 --My company specializes in:,6 --My company is:,7 --I teach:,8 --I'm not working because:,9 --My organization has:,10 --My immediate team is:,11 --My work touches these industries or sectors:,12 --I’ve been at my current place of work for:,13 --My role is:,14 --My role is:,15 --My role is:,16 --I've been in my current role for:,17 --I typically work:,18 --My annual salary is:,19 --My job provides:,"20 --In my current role, there is:","21 --In my current role, I am:",22 --My job is:,23 --My job stability is:,"24 --In addition to my job, I also:",25 --I fuel my daily creativity with coffee:,26 --Highest level of education I've completed:,27 --I learned design:,28 --My major focus of study was:,"29 --Over my career, I've had:",30 --I've shifted my specialty or focus area:,31 --I stay current with design by:,32 --I'm a member of:,33 --I'd like to get better at:,34 --I am:,"35 --Right now, I can't stop listening to:",36 --I live in:,37 --My age is:,38 --I am:,39 --I consider myself:,40 --My ethnicity is:,41 --The most critical issues and challenges currently facing design are (answer optional):,42 --The emerging trends and technologies that will have the biggest impact on design are (answer optional):,43 --The most valuable design skills for the future will be (answer optional):
20+ years,Communication Design,Brainstorming and Ideation|Drawing or Painting|Project Management|Public Speaking|Writing,Self-employed or freelancing,None of these,,,,1-10 employees,2-4 people,Advertising|Air Transportation|Automotive|Banking|Biotechnology|Computers|Construction|Consulting|Consumer Products|Education|Electronics|Energy|Financial Services|Food and Beverage|Government|Health Care|Hospitality|Information Technology|Insurance|Legal|Manufacturing|Marketing and Communications|Media and Broadcasting|Medical Equipment|Pharmaceutical|Real Estate|Retail|Sports and Fitness|Technology|Telecommunications|Transportation|Travel and Tourism|Utilities,10+ years,Creative Director,,,10+ years,41-50 hours per week,225000.0,None of these,No opportunity for advancement,Learning some new skills,The best,Rock solid,Own my own business|Teach,1-2 cups,Bachelor's degree,From a mentor or apprenticeship|On my own|On the job|In school,Graphic Design|Industrial Design|Package Design,4-5 design jobs,1-2 times,Attending conferences|Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,None of these,Social Media|VR or AR Design,Not interested in a new job right now,Podcasts,48382.0,53,Female,Not LGBTQ,Prefer not to say,Consumer vs. social impact focus|Education cost and equity of access,Augmented Reality|Battery and energy technology|Image recognition|Internet of Things|Virtual Reality,Adaptability to tech and social change|Asking good questions|Communication skills|Cross-cultural skills|Data analysis|Empathy|Observation and listening|Storytelling
Less than 1 year,Experience Design|UI Design|UX Design,Brainstorming and Ideation|Mentoring|Social Media,Other,,,,,1-10 employees,Just me,Consumer Products|Information Technology,Less than 1 year,,,,Less than 1 year,Less than 40 hours per week,0.0,None of these,No opportunity for advancement,Learning some new skills,Not sure,Non-existent,Design for friends and family,"No way, tea",Bachelor's degree,Through online training,Design and Technology|UX and UI,1 design job,0 times,Attending conferences|Following design feeds|Following social media|Reading online publications|Seeking online training,AIGA|IXDA,Coding|Interaction Design|Product Design|Public Speaking|Social Impact Design|UI Design|UX Design|VR or AR Design|Web Design|Writing,Working hard to find my next job,Some song in another language,94122.0,27,Female,Not LGBTQ,Asian,"Consumer vs. social impact focus|Dark UX patterns|Design not having a ""seat at the table""|Diversity in design and tech|Education cost and equity of access|Environmental impacts of design|Ethics in design|Generational differences in the workforce|Software complexity|Trademark and patent issues",Augmented Reality|Battery and energy technology|Behavior tracking and modeling|Biological or genetic design|Conversational interfaces|Facial and voice recognition|Human augmentation|Image recognition|Internet of Things|Miniaturization and nanotechnology|Virtual Reality,Algorithm and data model design|Architecture and environmental design|Asking good questions|Communication skills|Cross-cultural skills|Cross-functional skills|Data analysis|Empathy|Improvisation|Interpersonal skills|Leadership|Observation and listening|Psychology and human behavior|Scientific methods|Storytelling|Systems thinking|Voice interface design
20+ years,Education|Experience Design|Marketing|Product Design|Strategy|UI Design|UX Design,Brainstorming and Ideation|Business|Coding|Leadership|Mentoring|Public Speaking|SEO/SEM,Self-employed or freelancing,Innovation|Product Design|Strategy,,,,1-10 employees,2-4 people,Advertising|Computers|Consulting|Consumer Products|Information Sciences|Information Technology|Technology|Web Services,5-7 years,Creative Director,,,5-7 years,Less than 40 hours per week,250000.0,Professional Memberships,Promising opportunity for advancement,Learning and increasing my skill set every day,The best,Fairly stable,Have regular freelance clients|Take occasional freelance projects|Design for friends and family|Teach|Volunteer,1-2 cups,Bachelor's degree,On my own,Other,10+ design jobs,Slowly over time,Attending conferences|Discussing with peers|Following design feeds|Reading books/magazines|Reading online publications,AIGA|Creative Mornings|IXDA,AI or Algorithm Design|VR or AR Design,"Open to opportunities, but not actively looking",UXJOBS Podcast,96791.0,43,Male,Not LGBTQ,White or Caucasian,"Design not having a ""seat at the table""",AI and machine learning|Algorithmic design|Augmented Reality|Battery and energy technology|Behavior tracking and modeling|Conversational interfaces|Facial and voice recognition|Quantum computing,Architecture and environmental design|Data analysis|Empathy|Psychology and human behavior
10-14 years,Communication Design|Education|Environmental Design|Graphic Design|Illustration|Photography|Production|Service Design|Web Design,Brainstorming and Ideation|Diversity and Inclusion|Drawing or Painting|Leadership|Mentoring|Project Management|Public Speaking|Social Media|Writing,Not working,,,,I quit,,,,,,,,,,,,,,,,,"No way, tea",Bachelor's degree,On my own|On the job|Through online training|In school,Graphic Design,2-3 design jobs,1-2 times,Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications,AIGA,Animation|Brainstorming and Ideation|Business|Coding|Data Analysis|Drawing or Painting|Engineering|Interaction Design|Leadership|Motion Graphics|Photography|Product Design|Project Management|Public Speaking|Relationship Management|SEO/SEM|Service Design|Social Impact Design|Social Media|Strategy|UI Design|UX Design|VR or AR Design|Web Design|Writing,Working hard to find my next job,Design Matters with Debbie Millman,77030.0,41,Male,Not LGBTQ,"Latina, Latino, Latinx, or Hispanic","Design not having a ""seat at the table""|Generational differences in the workforce",3D printing|AI and machine learning|Algorithmic design|Augmented Reality|Behavior tracking and modeling|Image recognition|Internet of Things|Miniaturization and nanotechnology|Virtual Reality,Adaptability to tech and social change|Asking good questions|Communication skills|Data analysis|DIY or maker mentality|Interpersonal skills|Leadership|Observation and listening|Play|Risk tolerance|Storytelling
1-4 years,Graphic Design|Marketing,Brainstorming and Ideation|Leadership|Mentoring|Project Management|Public Speaking|Social Media|Writing,A contract employee in-house,,Education,,,11-50 employees,5-10 people,Accounting|Advertising|Arts|Education|Food and Beverage|Marketing and Communications,Less than 1 year,,Intern,,Less than 1 year,Less than 40 hours per week,0.0,None of these,Not sure,Learning and increasing my skill set every day,Pretty good,Not sure,Take occasional freelance projects|Design for friends and family|Maintain personal projects,1-2 cups,Bachelor's degree,On my own,Journalism|Marketing,2-3 design jobs,0 times,Discussing with peers|Following design feeds|Following social media|Reading books/magazines,None of these,Animation|Coding|Drawing or Painting|Product Design|Web Design,Working hard to find my next job,maggie rogers,28209.0,22,Female,Not LGBTQ,White or Caucasian,"Design not having a ""seat at the table""|Education cost and equity of access|Generational differences in the workforce",AI and machine learning|Augmented Reality,Adaptability to tech and social change|Asking good questions|Improvisation|Observation and listening|Play
5-9 years,Environmental Design|Experience Design|Interaction Design|Product Design|Strategy|UX Design,Brainstorming and Ideation|Business|Leadership|Mentoring|Project Management,A contract employee at an agency or consultancy,Digital|Innovation|Product Design|Service Design,,,,11-50 employees,2-4 people,Consumer Products|Education|Food and Beverage|Information Technology|Technology,Less than 1 year,Senior manager,,,1-2 years,40 hours per week,220000.0,Dental Insurance|Medical Insurance,Limited opportunity for advancement,Learning very little,Not great,Somewhat shaky,Own my own business|Take occasional freelance projects|Design for friends and family,1-2 cups,Bachelor's degree,From a mentor or apprenticeship|From programs or workshops|On my own|On the job|Through online training|In school,Advertising|Design and Technology|Digital Media|Journalism|UX and UI,6-7 design jobs,1-2 times,Attending conferences|Discussing with peers|Reading books/magazines|Reading online publications,Creative Mornings|Freelancers Union|IXDA,Diversity and Inclusion|Leadership|Mentoring|Project Management|Service Design|Social Impact Design|Writing,Working hard to find my next job,Pod Save America,11201.0,29,Female,Not LGBTQ,White or Caucasian,Diversity in design and tech|Education cost and equity of access|Environmental impacts of design|Ethics in design|Machine ethics,3D printing|AI and machine learning|Battery and energy technology|Conversational interfaces|Internet of Things,Adaptability to tech and social change|Asking good questions|Communication skills|Cross-cultural skills|Cross-functional skills|Empathy|Interpersonal skills|Managing complexity|Observation and listening|Psychology and human behavior|Systems thinking
Less than 1 year,Graphic Design|Illustration,Diversity and Inclusion|Drawing or Painting|Project Management|Relationship Management|Social Media|Writing,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,On my own|Through online training,Graphic Design|Illustration|Printing or Print Making,1 design job,1-2 times,Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,Creative Mornings,Animation|Brainstorming and Ideation|Coding|Data Analysis|Interaction Design|Motion Graphics|Photography|Product Design|UI Design|UX Design|Web Design,Casually looking for the right opportunity,The No Sleep Podcast,2476.0,31,Female,Not LGBTQ,Native Hawaiian or Pacific Islander,Advertising supported content model|Algorithm bias|Consumer vs. social impact focus|Diversity in design and tech|Education cost and equity of access,AI and machine learning|Algorithmic design|Behavior tracking and modeling|Crowdsourcing and open source|Democratization of design|Distributed teams and virtual workplace|Image recognition|Internet of Things,Adaptability to tech and social change|Asking good questions|Communication skills|Cross-cultural skills|Cross-functional skills|Data analysis|DIY or maker mentality|Empathy|Facilitation|Improvisation|Interpersonal skills|Leadership|Managing complexity|Observation and listening|Play|Psychology and human behavior|Storytelling
20+ years,Communication Design|Graphic Design|Marketing|Packaging Design,Brainstorming and Ideation|Business|Facilitation|Leadership|Mentoring|Project Management|Public Speaking|Relationship Management,A full-time employee at an agency or consultancy,Advertising|Branding|Digital,,,,1000+ employees,11-20 people,Advertising|Air Transportation|Apparel and Accessories|Arts|Automotive|Banking|Entertainment|Gaming|Health Care|Hospitality|Marketing and Communications|Publishing|Telecommunications|Transportation|Travel and Tourism,5-7 years,Executive,,,3-4 years,41-50 hours per week,400000.0,Commuting Benefits|Dental Insurance|Disability Insurance|Education Funding|Employer-matched Retirement|Fitness Benefits|Life Insurance|Medical Insurance|Paid Parental Leave|Paid Time Off|Professional Development|Professional Memberships|Wellness Programs,Some opportunity for advancement,Learning some new skills,Pretty good,Somewhat shaky,Volunteer,1-2 cups,Bachelor's degree,On the job|In school,Graphic Design,4-5 design jobs,3-4 times,Following social media,AIGA,Business,"Open to opportunities, but not actively looking",St. Vincent,60601.0,45,Male,Not LGBTQ,White or Caucasian,"Design not having a ""seat at the table""|Diversity in design and tech",AI and machine learning|Augmented Reality,Adaptability to tech and social change|Asking good questions|Communication skills|Cross-cultural skills|Cross-functional skills|Empathy|Improvisation|Interpersonal skills|Leadership|Managing complexity|Observation and listening|Play|Storytelling
20+ years,Graphic Design,Brainstorming and Ideation|Business|Mentoring|Project Management,Self-employed or freelancing,Print,,,,1-10 employees,Just me,Accounting|Advertising|Construction|Consulting|Consumer Products|Education|Electronics|Energy|Financial Services|Food and Beverage|Government|Health Care|Hospitality|Industrial Goods|Information Sciences|Information Technology|Insurance|Manufacturing|Marketing and Communications|Medical Equipment|Pharmaceutical|Sports and Fitness|Technology|Travel and Tourism|Web Services,10+ years,Owner/Partner,,,10+ years,Less than 40 hours per week,0.0,None of these,No opportunity for advancement,Learning and increasing my skill set every day,Pretty good,Fairly stable,Own my own business|Have regular freelance clients,1-2 cups,Bachelor's degree,From a mentor or apprenticeship|From programs or workshops|On the job|In school,Graphic Design,4-5 design jobs,0 times,Attending conferences|Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,None of these,UI Design|UX Design,"Open to opportunities, but not actively looking",Movie soundtracks,27107.0,48,Female,Not LGBTQ,White or Caucasian,Ethics in design|Trademark and patent issues,Crowdsourcing and open source,Adaptability to tech and social change
10-14 years,Experience Design|Graphic Design|Interaction Design|Strategy,Brainstorming and Ideation|Business|Facilitation|Leadership|Mentoring|Relationship Management|Writing,Self-employed or freelancing,Branding|Digital,,,,1-10 employees,2-4 people,Banking|Computers|Consulting|Entertainment|Financial Services|Health Care|Information Technology|Marketing and Communications|Media and Broadcasting|Pharmaceutical|Technology|Telecommunications,Less than 1 year,Owner/Partner,,,Less than 1 year,41-50 hours per week,250000.0,None of these,Promising opportunity for advancement,Learning and increasing my skill set every day,Not great,Somewhat shaky,None of these,"No way, tea",Master's degree,In school,Graphic Design,6-7 design jobs,3-4 times,Discussing with peers|Reading books/magazines|Reading online publications|Seeking online training,AIGA,Animation|Business|Coding|Interaction Design|Leadership|Mentoring|Motion Graphics|Product Design|Project Management|Relationship Management|Sales|Service Design|Strategy|UI Design|UX Design,Not interested in a new job right now,Bowie,11217.0,42,Male,Not LGBTQ,White or Caucasian,Advertising supported content model|Diversity in design and tech|Education cost and equity of access|Ethics in design|Generational differences in the workforce|Human-machine interface limitations|Machine ethics|Trademark and patent issues,AI and machine learning|Algorithmic design|Augmented Reality|Conversational interfaces|Democratization of design|Facial and voice recognition|Image recognition,Adaptability to tech and social change|Algorithm and data model design|Data analysis|Empathy|Facilitation|Improvisation|Interpersonal skills|Leadership|Play|Psychology and human behavior|Storytelling|Systems thinking|Voice interface design
1-4 years,UI Design|UX Design,Brainstorming and Ideation|Drawing or Painting|Project Management,A contract employee in-house,,For-Profit/Corporate,,,501-1000 employees,11-20 people,Consumer Products|Electronics|Technology|Web Services,Less than 1 year,,Mid-level specialist,,Less than 1 year,40 hours per week,220000.0,Dental Insurance|Fitness Benefits|Medical Insurance|Paid Parental Leave,Limited opportunity for advancement,Learning and increasing my skill set every day,The best,Fairly stable,Design for friends and family|Maintain personal projects,"No way, tea",Bachelor's degree,From a mentor or apprenticeship|On my own|On the job|Through online training|In school,Graphic Design,4-5 design jobs,1-2 times,Attending conferences|Discussing with peers|Having a mentor|Reading books/magazines|Reading online publications|Seeking online training,None of these,Animation|Brainstorming and Ideation|Business|Coding|Interaction Design|Leadership|Mentoring|Motion Graphics|Photography|Product Design|Public Speaking|Strategy|UI Design|UX Design,"Open to opportunities, but not actively looking",N/a,95129.0,31,Female,Not LGBTQ,Asian,"Design not having a ""seat at the table""",AI and machine learning|Algorithmic design|Conversational interfaces|Internet of Things,Adaptability to tech and social change|Communication skills|Cross-functional skills|Empathy|Leadership|Managing complexity|Observation and listening|Play|Storytelling|Systems thinking
10-14 years,Graphic Design|Illustration|Marketing|Packaging Design|Photography,Brainstorming and Ideation|Drawing or Painting|Leadership|Mentoring|Project Management|Sales,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,On my own|On the job|In school,Graphic Design|Photography,2-3 design jobs,1-2 times,Following design feeds|Reading online publications|Seeking online training,None of these,Animation|Interaction Design|Motion Graphics|SEO/SEM|Web Design,Working hard to find my next job,Arcs,60002.0,38,Female,Not LGBTQ,White or Caucasian,"Design not having a ""seat at the table""|Education cost and equity of access|Ethics in design",Behavior tracking and modeling|Democratization of design|Human augmentation|Image recognition,Adaptability to tech and social change|Cross-cultural skills|Cross-functional skills|Data analysis|Empathy|Interpersonal skills|Observation and listening|Psychology and human behavior
